iter,train_mse
1395,0.570658
1396,0.570657
1397,0.570656
1398,0.570655
1399,0.570653
1400,0.570652
1401,0.570651
1402,0.57065
1403,0.570648
1404,0.570647
1405,0.570646
1406,0.570645
1407,0.570643
1408,0.570642
1409,0.570641
1410,0.57064
1411,0.570638
1412,0.570637
1413,0.570636
1414,0.570635
1415,0.570633
1416,0.570632
1417,0.570631
1418,0.57063
1419,0.570628
1420,0.570627
1421,0.570626
1422,0.570625
1423,0.570623
1424,0.570622
1425,0.570621
1426,0.57062
1427,0.570619
1428,0.570617
1429,0.570616
1430,0.570615
1431,0.570614
1432,0.570612
1433,0.570611
1434,0.57061
1435,0.570609
1436,0.570608
1437,0.570606
1438,0.570605
1439,0.570604
1440,0.570603
1441,0.570601
1442,0.5706
1443,0.570599
1444,0.570598
1445,0.570597
1446,0.570595
1447,0.570594
1448,0.570593
1449,0.570592
1450,0.570591
1451,0.570589
1452,0.570588
1453,0.570587
1454,0.570586
1455,0.570585
1456,0.570583
1457,0.570582
1458,0.570581
1459,0.57058
1460,0.570579
1461,0.570577
1462,0.570576
1463,0.570575
1464,0.570574
1465,0.570573
1466,0.570572
1467,0.57057
1468,0.570569
1469,0.570568
1470,0.570567
1471,0.570566
1472,0.570564
1473,0.570563
1474,0.570562
1475,0.570561
1476,0.57056
1477,0.570559
1478,0.570557
1479,0.570556
1480,0.570555
1481,0.570554
1482,0.570553
1483,0.570552
1484,0.57055
1485,0.570549
1486,0.570548
1487,0.570547
1488,0.570546
1489,0.570545
1490,0.570543
1491,0.570542
1492,0.570541
1493,0.57054
1494,0.570539
1495,0.570538
1496,0.570536
1497,0.570535
1498,0.570534
1499,0.570533
1500,0.570532
1501,0.570531
1502,0.57053
1503,0.570528
1504,0.570527
1505,0.570526
1506,0.570525
1507,0.570524
1508,0.570523
1509,0.570522
1510,0.57052
1511,0.570519
1512,0.570518
1513,0.570517
1514,0.570516
1515,0.570515
1516,0.570514
1517,0.570512
1518,0.570511
1519,0.57051
1520,0.570509
1521,0.570508
1522,0.570507
1523,0.570506
1524,0.570505
1525,0.570503
1526,0.570502
1527,0.570501
1528,0.5705
1529,0.570499
1530,0.570498
1531,0.570497
1532,0.570496
1533,0.570494
1534,0.570493
1535,0.570492
1536,0.570491
1537,0.57049
1538,0.570489
1539,0.570488
1540,0.570487
1541,0.570486
1542,0.570484
1543,0.570483
1544,0.570482
1545,0.570481
1546,0.57048
1547,0.570479
1548,0.570478
1549,0.570477
1550,0.570476
1551,0.570474
1552,0.570473
1553,0.570472
1554,0.570471
1555,0.57047
1556,0.570469
1557,0.570468
1558,0.570467
1559,0.570466
1560,0.570465
1561,0.570464
1562,0.570462
1563,0.570461
1564,0.57046
1565,0.570459
1566,0.570458
1567,0.570457
1568,0.570456
1569,0.570455
1570,0.570454
1571,0.570453
1572,0.570452
1573,0.570451
1574,0.570449
1575,0.570448
1576,0.570447
1577,0.570446
1578,0.570445
1579,0.570444
1580,0.570443
1581,0.570442
1582,0.570441
1583,0.57044
1584,0.570439
1585,0.570438
1586,0.570437
1587,0.570436
1588,0.570434
1589,0.570433
1590,0.570432
1591,0.570431
1592,0.57043
1593,0.570429
1594,0.570428
1595,0.570427
1596,0.570426
1597,0.570425
1598,0.570424
1599,0.570423
1600,0.570422
1601,0.570421
1602,0.57042
1603,0.570419
1604,0.570418
1605,0.570417
1606,0.570415
1607,0.570414
1608,0.570413
1609,0.570412
1610,0.570411
1611,0.57041
1612,0.570409
1613,0.570408
1614,0.570407
1615,0.570406
1616,0.570405
1617,0.570404
1618,0.570403
1619,0.570402
1620,0.570401
1621,0.5704
1622,0.570399
1623,0.570398
1624,0.570397
1625,0.570396
1626,0.570395
1627,0.570394
1628,0.570393
1629,0.570392
1630,0.570391
1631,0.57039
1632,0.570389
1633,0.570388
1634,0.570386
1635,0.570385
1636,0.570384
1637,0.570383
1638,0.570382
1639,0.570381
1640,0.57038
1641,0.570379
1642,0.570378
1643,0.570377
1644,0.570376
1645,0.570375
1646,0.570374
1647,0.570373
1648,0.570372
1649,0.570371
1650,0.57037
1651,0.570369
1652,0.570368
1653,0.570367
1654,0.570366
1655,0.570365
1656,0.570364
1657,0.570363
1658,0.570362
1659,0.570361
1660,0.57036
1661,0.570359
1662,0.570358
1663,0.570357
1664,0.570356
1665,0.570355
1666,0.570354
1667,0.570353
1668,0.570352
1669,0.570351
1670,0.57035
1671,0.570349
1672,0.570348
1673,0.570347
1674,0.570346
1675,0.570345
1676,0.570344
1677,0.570343
1678,0.570342
1679,0.570341
1680,0.57034
1681,0.570339
1682,0.570338
1683,0.570337
1684,0.570336
1685,0.570336
1686,0.570335
1687,0.570334
1688,0.570333
1689,0.570332
1690,0.570331
1691,0.57033
1692,0.570329
1693,0.570328
1694,0.570327
1695,0.570326
1696,0.570325
1697,0.570324
1698,0.570323
1699,0.570322
1700,0.570321
1701,0.57032
1702,0.570319
1703,0.570318
1704,0.570317
1705,0.570316
1706,0.570315
1707,0.570314
1708,0.570313
1709,0.570312
1710,0.570311
1711,0.57031
1712,0.570309
1713,0.570308
1714,0.570308
1715,0.570307
1716,0.570306
1717,0.570305
1718,0.570304
1719,0.570303
1720,0.570302
1721,0.570301
1722,0.5703
1723,0.570299
1724,0.570298
1725,0.570297
1726,0.570296
1727,0.570295
1728,0.570294
1729,0.570293
1730,0.570292
1731,0.570291
1732,0.57029
1733,0.57029
1734,0.570289
1735,0.570288
1736,0.570287
1737,0.570286
1738,0.570285
1739,0.570284
1740,0.570283
1741,0.570282
1742,0.570281
1743,0.57028
1744,0.570279
1745,0.570278
1746,0.570277
1747,0.570277
1748,0.570276
1749,0.570275
1750,0.570274
1751,0.570273
1752,0.570272
1753,0.570271
1754,0.57027
1755,0.570269
1756,0.570268
1757,0.570267
1758,0.570266
1759,0.570265
1760,0.570265
1761,0.570264
1762,0.570263
1763,0.570262
1764,0.570261
1765,0.57026
1766,0.570259
1767,0.570258
1768,0.570257
1769,0.570256
1770,0.570255
1771,0.570255
1772,0.570254
1773,0.570253
1774,0.570252
1775,0.570251
1776,0.57025
1777,0.570249
1778,0.570248
1779,0.570247
1780,0.570246
1781,0.570246
1782,0.570245
1783,0.570244
1784,0.570243
1785,0.570242
1786,0.570241
1787,0.57024
1788,0.570239
1789,0.570238
1790,0.570237
1791,0.570237
1792,0.570236
1793,0.570235
1794,0.570234
1795,0.570233
1796,0.570232
1797,0.570231
1798,0.57023
1799,0.570229
1800,0.570229
1801,0.570228
1802,0.570227
1803,0.570226
1804,0.570225
1805,0.570224
1806,0.570223
1807,0.570222
1808,0.570222
1809,0.570221
1810,0.57022
1811,0.570219
1812,0.570218
1813,0.570217
1814,0.570216
1815,0.570215
1816,0.570215
1817,0.570214
1818,0.570213
1819,0.570212
1820,0.570211
1821,0.57021
1822,0.570209
1823,0.570208
1824,0.570208
1825,0.570207
1826,0.570206
1827,0.570205
1828,0.570204
1829,0.570203
1830,0.570202
1831,0.570202
1832,0.570201
1833,0.5702
1834,0.570199
1835,0.570198
1836,0.570197
1837,0.570196
1838,0.570196
1839,0.570195
1840,0.570194
1841,0.570193
1842,0.570192
1843,0.570191
1844,0.57019
1845,0.57019
1846,0.570189
1847,0.570188
1848,0.570187
1849,0.570186
1850,0.570185
1851,0.570185
1852,0.570184
1853,0.570183
1854,0.570182
1855,0.570181
1856,0.57018
1857,0.570179
1858,0.570179
1859,0.570178
1860,0.570177
1861,0.570176
1862,0.570175
1863,0.570174
1864,0.570174
1865,0.570173
1866,0.570172
1867,0.570171
1868,0.57017
1869,0.570169
